Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
BN12 5LE,Yes,50.815342,-0.450311,509269,102899,TQ092028,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5LF,Yes,50.815483,-0.449469,509328,102916,TQ093029,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5LG,Yes,50.806739,-0.450624,509267,101942,TQ092019,"Ferring","Ferring",2004-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5LH,Yes,50.810284,-0.449357,509348,102338,TQ093023,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5LJ,Yes,50.81228,-0.448666,509392,102561,TQ093025,"Ferring","Ferring",1980-01-01,,10,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5LL,Yes,50.812602,-0.449181,509355,102596,TQ093025,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5LN,Yes,50.81193,-0.448706,509390,102522,TQ093025,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5LP,Yes,50.811586,-0.449938,509304,102482,TQ093024,"Ferring","Ferring",2005-02-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5LQ,No,50.809951,-0.450049,509300,102300,TQ093022,"Ferring","Ferring",1991-09-01,1996-12-01,8,England,2020-06-03,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01031424,"Arun 008D"
BN12 5LR,Yes,50.811683,-0.447763,509457,102496,TQ094024,"Ferring","Ferring",1980-01-01,,10,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5LS,Yes,50.81099,-0.448354,509417,102418,TQ094024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5LT,Yes,50.811118,-0.450536,509263,102429,TQ092024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5LU,Yes,50.809463,-0.449771,509321,102246,TQ093022,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5LW,Yes,50.811345,-0.45006,509296,102455,TQ092024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5LX,Yes,50.809371,-0.449647,509330,102236,TQ093022,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
