,Location,Coordinates,Latitude,Longitude
144,"Ashtead, United Kingdom","Ashtead, Surrey, South East, England, KT21 2FH, United Kingdom",51.305522700000004,-0.3071682
145,"Brighton, United Kingdom","Brighton, Brighton and Hove, South East, England, United Kingdom",50.8220399,-0.1374061
146,"Westbury, United Kingdom","Westbury, Wiltshire, South West England, England, BA13 3DB, United Kingdom",51.261078999999995,-2.1836535
147,"Leighlinbridge, Ireland","Leighlinbridge, Leighlinbridge ED, County Carlow, Leinster, Ireland",52.7360233,-6.9766258
148,"Purley, United Kingdom","Purley, London Borough of Croydon, London, Greater London, England, CR8 2FQ, United Kingdom",51.3385156,-0.11589300000000001
149,"Derbyshire, United Kingdom","Derbyshire, East Midlands, England, United Kingdom",53.11850329999999,-1.5566179305872212
150,"Bury St Edmunds, United Kingdom","Bury St Edmunds, Suffolk, East of England, England, IP33 1BZ, United Kingdom",52.24603670000001,0.7125173
151,"Kingsnorth, United Kingdom","Kingsnorth, Kent, South East, England, TN23 3EH, United Kingdom",51.1184905,0.8598681999999999
152,"Mitcham, United Kingdom","Mitcham, London Borough of Merton, London, Greater London, England, CR4 3NA, United Kingdom",51.4058006,-0.1640787
153,"Hornchurch, United Kingdom","Hornchurch, London Borough of Havering, London, Greater London, England, RM12 6AF, United Kingdom",51.5613235,0.2212279
154,"Abu Dhabi, United Arab Emirates","أبوظبي, أبو ظبي, United Arab Emirates",24.474796100000002,54.3705762
155,"Romford, United Kingdom","Romford, London, Greater London, England, RM1 1RX, United Kingdom",51.57604620000001,0.1822646
156,"Poole, United Kingdom","Poole, South West England, England, BH15 1SU, United Kingdom",50.7179472,-1.9815209999999999
157,"Petersfield, United Kingdom","Petersfield, East Hampshire, Hampshire, South East, England, United Kingdom",51.0024945,-0.9392027000000001
158,"Watton, United Kingdom","Watton, Norfolk, East of England, England, IP25 6BE, United Kingdom",52.56991850000001,0.8253494
159,"Horndean, United Kingdom","Horndean, East Hampshire, Hampshire, South East, England, United Kingdom",50.9224506,-1.0022416709244524
160,"Windsor and Maidenhead, United Kingdom","Windsor and Maidenhead, South East, England, United Kingdom",51.4803412,-0.6769505204283354
161,"Northampton, United Kingdom","Northampton, Northamptonshire, East Midlands, England, United Kingdom",52.2381355,-0.8963906999999999
162,"Amersham, United Kingdom","Amersham, Chiltern Avenue, Amersham, Buckinghamshire, South East, England, HP6 5FG, United Kingdom",51.6740875,-0.6073643
163,"Aylesbury, United Kingdom","Aylesbury, Buckinghamshire, South East, England, United Kingdom",51.816141200000004,-0.8130383000000001
164,"Bicester, United Kingdom","Bicester, Oxfordshire, South East, England, OX26, United Kingdom",51.89888320000001,-1.1518287
165,"Norfolk, United Kingdom","Norfolk, East of England, England, United Kingdom",52.666667000000004,1.0
166,"Slough, United Kingdom","Slough, South East, England, SL1 1XU, United Kingdom",51.511101399999994,-0.5940681999999999
167,"Telford, United Kingdom","Telford, Telford and Wrekin, West Midlands, England, TF3 4HB, United Kingdom",52.6780419,-2.4514272999999998
168,"Lingfield, United Kingdom","Lingfield, Edenbrook, Lingfield, Tandridge, Surrey, South East, England, RH7 6EF, United Kingdom",51.1761001,-0.0068029
169,"Mumbai, India","Mumbai, Santa Cruz – Chembur Link Road, Hallow Pul, L Ward, Zone 5, Mumbai, Mumbai Suburban, Maharashtra, 400070, India",19.075989899999996,72.8773928
170,"Ystrad Mynach, United Kingdom","Ystrad Mynach, Caerphilly, Cymru / Wales, United Kingdom",51.6418098,-3.2373987
171,"Shropshire, United Kingdom","Shropshire, West Midlands, England, United Kingdom",52.65233935,-2.7958678599236624
172,"Rochester, United Kingdom","Rochester, Maidstone Road, Wouldham, Rochester, Medway, South East, England, ME1 3QU, United Kingdom",51.373925,0.4895943178424743
173,"Cambridge, United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.2034823,0.1235817
174,"Worthing, United Kingdom","Worthing, West Sussex, South East, England, United Kingdom",50.8116902,-0.37039479999999997
175,"Haverhill, United Kingdom","Haverhill, Suffolk, East of England, England, CB9 8GY, United Kingdom",52.0832721,0.4353932
176,"Shenley, United Kingdom","Shenley, Hertfordshire, East of England, England, WD7 9BS, United Kingdom",51.6922396,-0.28119679999999997
177,"USA, USA",United States,39.7837304,-100.4458825
178,"Hemel Hempstead, United Kingdom","Hemel Hempstead, Hertfordshire, East of England, England, HP1 1EW, United Kingdom",51.7511784,-0.47252799999999995
179,"Aylesham, United Kingdom","Aylesham, Bell Grove, Aylesham, Dover, Kent, South East, England, CT3 3AS, United Kingdom",51.2274229,1.2095904
180,"Erith, United Kingdom","Erith, London Borough of Bexley, London, Greater London, England, DA8 2GQ, United Kingdom",51.4775613,0.1823013
181,"Steyning, United Kingdom","Steyning, Horsham, West Sussex, South East, England, United Kingdom",50.890220299999996,-0.3302184
182,"Newcastle-upon-Tyne, United Kingdom","Newcastle upon Tyne, Tyne and Wear, North East England, England, United Kingdom",54.97384739999999,-1.6131572
183,"Wigan, United Kingdom","Wigan, Greater Manchester, North West England, England, United Kingdom",53.545718799999996,-2.6264624
184,"Chemsford, United Kingdom","Royal Mail Chemsford, Montrose Road, Dukes Park Industrial Estate, Springfield, Chelmsford, Essex, East of England, England, CM2 6ZZ, United Kingdom",51.74245360000001,0.5005752368921204
185,"Royal Tunbridge Wells, United Kingdom","Royal Tunbridge Wells, Tunbridge Wells, Kent, South East, England, TN1 2DL, United Kingdom",51.13714829999999,0.2673446
186,"Sandhurst, United Kingdom","Sandhurst, Bracknell Forest, South East, England, United Kingdom",51.35034055,-0.7872591564985778
187,"Cirencester, United Kingdom","Cirencester, Cotswold, Gloucestershire, South West England, England, GL7, United Kingdom",51.7170188,-1.9685298999999998
188,"Bexleyheath, United Kingdom","Bexleyheath, London, Greater London, England, DA7 4LN, United Kingdom",51.463485399999996,0.14805520000000005
189,"Ealing, United Kingdom","Ealing, London Borough of Ealing, London, Greater London, England, W5 5DG, United Kingdom",51.5126553,-0.3051952
190,"Newport, United Kingdom","Newport, Cymru / Wales, United Kingdom",51.58823320000001,-2.9974967
191,"Malaga, Spain","Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España",36.7213028,-4.421636599999999
192,"Luton, United Kingdom","Luton, East of England, England, LU1 2YN, United Kingdom",51.8784385,-0.41528370000000003
193,"Croydon, United Kingdom","Croydon, London, Greater London, England, CR0 1SZ, United Kingdom",51.3713049,-0.101957
194,"Weymouth, United Kingdom","Weymouth, Wyke Regis, Dorset, South West England, England, United Kingdom",50.6096257,-2.4543424
195,"Fair Oak, United Kingdom","Fair Oak, Hampshire, South East, England, SO50 7AU, United Kingdom",50.9652971,-1.2998218000000001
196,"Milton Keynes, United Kingdom","Milton Keynes, South East, England, MK9 3AF, United Kingdom",52.042979700000004,-0.7589607
197,"Yorkshire, United Kingdom","Yorkshire, Middlesbrough Road, South Bank, Lackenby, Redcar and Cleveland, North East England, England, TS6 6NR, United Kingdom",54.580178599999996,-1.1761941999999999
198,"Rye, United Kingdom","Rye, Rother, East Sussex, South East, England, TN31 7LY, United Kingdom",50.95118710000001,0.7327667
199,"Gwent, United Kingdom","Gwent, Cymru / Wales, NP44 2NY, United Kingdom",51.6666717,-3.000007
200,"Chichester, United Kingdom","Chichester, West Sussex, South East, England, United Kingdom",50.8364862,-0.7791720999999999
201,"Plymouth, United Kingdom","Plymouth, South West England, England, PL1 1HH, United Kingdom",50.3712659,-4.1425658
202,"Tatsfield, United Kingdom","Tatsfield, Surrey, South East, England, TN16 2BD, United Kingdom",51.29545220000001,0.026016300000000003
203,"Wemyss Bay, United Kingdom","Wemyss Bay, Inverclyde, Scotland, PA18 6DH, United Kingdom",55.88884010000001,-4.8888867
204,"Cheriton, United Kingdom","Cheriton, Folkestone and Hythe, Kent, South East, England, CT19 4QE, United Kingdom",51.0915835,1.1359608
